Speaker,date,speech
Jeroen Dijsselbloem,01.26.2015,"Good evening and welcome to this press conference. This was our first Eurogroup of the New Year and already a lot has happened. Of course we discussed the latest news, which was the outcome of last nights Greek elections and we were informed about last week's decision by the ECB. But we had more on our agenda. Today we discussed a wide range of topics: Lithuania's euro changeover, the Commission's flexibility paper with a lot of focus on reforms, the economic situation in the euro area.    
We are first going to Greece. Let me first of all say, from this podium, that we of course congratulate the party that won the Greek elections and have now formed a Greek government and that we wish them, of course, success in their work and we look forward to working with them, the way we worked with the previous Greek government. We will support them in their quest for economic recovery of Greece. We are glad that their ambition is to realise this within the Eurozone and that is exactly our ambition too. I am sure you will have a lot of questions of what will now happen, the current programme, the future etc, but there is very little I can say about it at this moment, for the simple reason that the new Greek government has yet to take office, get started. It is too early to say what their intentions, ambitions in the short term regarding programmes etc. So it is really hard for me to respond to that. I think we will need a little bit of patience and we also discussed this in the Eurogroup that we must allow the new Greek government to take their positions and give their points of view on how to move forward. Both in finalising the pending review and any other further support from the Eurozone to Greece. On awaiting that outcome, we have some time to come to this in our next Eurogroup meeting in February. So, this all is very disappointing if this is all I can say on Greece.  
"
Jeroen Dijsselbloem,02.12.2015,"Today, as you well know, we had an extra Eurogroup to start our talks with the new Greek colleague, to already cover some ground in advance of the regular Eurogroup, which is  on Monday.
It was the first opportunity to meet and to listen to the new Greek colleague on their plans, ambitions of their government.  And that was very welcome and useful. We had an intense discussion and constructive, covering a lot of ground, also making progress, but not enough progress at this point to come to joint conclusions. So, we will continue our talks on Monday.
On Monday, we have a regular Eurogroup, with a number of items on the agenda, but we will also continue our talks on Greece and our current and future cooperation with Greece. That is where we stand. So, there are no real conclusions, which I can share with you. You will have to bear with us a little longer. We will continue our talks on Monday. And that is as far I can go, at this point. I am open to all your questions, but I am already going to say to you to be patient and I will probably repeat that five times to your questions. But I will try anyway.
"
Jeroen Dijsselbloem,02.16.2015,"Then turning to the Greece, as you remember the outcome of the last Eurogroup was that in the end we did not agree on the way forward. We have been drafting the statement but we couldn't finalize, we did not get the final agreement on that. 
The day after I spoke to Prime Minister Tsipras and together with him we've agreed to ask the institutions to at least start the technical work, the technical assessment of where are we in the current program, what are the elements that the new government could agree to. There was an assumption of 70/30 - they could possibly agree to 70% but not to 30% - so we asked the institutions to look at that assumption and then to look at possible replacement measures that which would come from the new Greek government's plans to fill in the 30.
Today we were reported back to us by the institutions how all these talks which took place on Friday and Saturday. In general the reaction of the ministers of the Eurogroup with a slice of disappointment on the outcome of those talks. Much appreciation to the people who did the work over the course of the weekend. Disappointment over the fact that there was still no firm common ground on what such an adjustment in the program could look like and how much of the program would actually be carried forward by the new Greek government. 
The last couple of days right up till the start of the meeting we also talked with Greek colleagues to see whether we could find adjustments in statements on further steps and we were unable to do so at the start of the meeting. 
In the meeting, after we have been informed by the institutions on the state of play in the program and the 70/30 assumption, we had a round of debates on the steps forward. The general feeling in the Eurogroup is still that the best way forward for the Greek authorities would be to seek an extension of the program. 
The main reason for that is that given the ongoing discussions about how the program should work and the future arrangement for Greece should look like, we simply need more time and the best way for that is to at this point to extent the current program which would then allow us a number of time, a number of months to work on future arrangements. 
Such an extension would allow for the Greeks to use the normal kind of flexibility in the program. Talking to the institutions it would be possible to change measures, put other measures into place, but there would also have to be other safeguards and commitments. The request for extension would have to be accompanied by a number of commitments. Let me just mention the key elements here: 
- yes, there is a flexibility in the program; we are open to discuss the replacing measures, but not by taking unilateral actions; 
- a request to come with the commitment not to roll back any measures, unless agreed with the institutions and unless fully funded; 
- a request should come with an unequivocal commitment from Greece to honour all financial obligations to its creditors and off course to assure stability in the financial sector; 
- on the basis of such an extended program, within which flexibility is possible should be also the commitment for the Greek authorities to successfully conclude the program. We should have the reassurance that that is the intention; 
- any request should be on the basis of the commitment to work closely and to continue the dialogue with the institutions and the Eurogroup. 
On this basis, we stand ready to continue our discussions. It is now up to the Greek authorities to decide whether they would want such an extension, whether they would take up the offer to look for the flexibility within the program, but also to give of the kind of commitments that I've just mentioned which are very important to all members of the Eurogroup. 
There was a very strong opinion across the whole Eurogroup, that the next step has to come from the Greek authorities. They have to make up their mind to whether they will ask for an extension in the current program, as I said - using the flexibility and at the same time giving of the main commitments.
In terms of process, giving the timelines that we have and parliamentary deadlines, I think we can use this week, but that is about it. If the request for an extension would come in, we would of course look at it, ask the institutions to review it and advise us and then we could have, if a positive outcome can be envisaged, the extra Eurogroup of Friday, but that is for the later moment to decide. That is where we stand for now.
"
Jeroen Dijsselbloem,02.20.2015,"Good evening and welcome to this press conference. We had a very intense meeting regarding a very important decision on the request for extension of the Greek programme. It was intense because it was about building trust between us. The trust on a basis of the agreements and changes in them that will have to be worked out. There is a hope to reach in the end a positive outcome in terms of successful review and conclusion of the programme in time and that requires trust. I think tonight was a first step in this process of rebuilding it. As you know trust leaves quicker then it comes and tonight was a very important, I think, step in that process. 
I am glad to report you that the work that we've done over the last weeks has paid off. We have established a common ground again to reach the agreement on the statement. Statement outlines the details of our agreement. I will not read it out but I will outline the main elements: 
- Yesterday we received a request letter from the Greek authorities for an extension of the MFFA for 4 months. Actually I've requested for 6 months, but our decision is to extend it for 4 months;
- In parallel, the Greek authorities also requested to extend the availability period of the EFSF bonds in the HFSF buffer. In view of the assessment of the institutions the Eurogroup agrees that these funds should be held by the EFSF, free of third party rights for the duration of the MFFA extension. These funds which are mend for recapitalisation of banks and therefore will remain available for the duration of the extended agreement and can be used for the purpose of bank recapitalisation in Greece. 
The purpose of the request by the Greek government is to allow for the successful completion of the review on the basis of the conditions of the current agreements. As mentioned in my last press conference, there is flexibility in the programme, and we will make the best use of it. This flexibility will be considered jointly with the Greek authorities and the institutions. 
It will also allow us to bridge the time for discussions between the Eurogroup, the institutions and Greece, on a possible follow-up arrangement in which the IMF will also continue to play its role. 
Let me recall that the formal, successful conclusion of the review will allow for the disbursement of the outstanding tranche of the current EFSF programme and the transfer of the 2014 SMP profits. Both will be subject to approval by the Eurogroup, but as I said - based on the successful conclusion of the review and this is a precondition. 
As we concluded already in our meeting on Monday, a request for extending the programme needed to be underpinned by commitments from the new Greek government. They are outlined, part of them in the letter and part of them in the statement upon which we've agreed tonight. I would like to stress a few key commitments: 
- The authorities have today expressed their strong commitment to a broader and deeper structural reform process and gave their firm commitment to, with immediate effect, refrain from any rollback of measures and unilateral actions that would negatively impact fiscal targets, economic recovery or financial stability which are the 3 key cornerstones of the programme, as assessed by the institutions; 
- In addition, the Greek authorities have reiterated today their unequivocal commitment to honour their financial obligations to all their creditors fully and timely; 
- On the fiscal side, the Greek authorities have committed to ensure the primary fiscal surpluses or financing proceeds required to guarantee debt sustainability in line with our Eurogroup November 2012 agreement. At the same time, the institutions will, for the primary surplus target for this year, take the economic circumstances into account.
On the basis of these commitments given in the letter and in today's statement we will start the process which will hopefully lead to the successful decision on the extension of the programme. The first step, that we've agreed together with the Greek authorities, in this process is to present the first list of their reform ambitions. Reform measures based first of all of course on the current arrangements, but also using the flexibility that is in the programmes. This first list of reform measures should be available and presented on Monday. The institutions will then provide us with a first view whether this is sufficiently comprehensive to be a valid starting point of the process which will ultimately lead to a successful conclusion of the review. So Monday, to summarize - first list of reform measures from the Greek side. The institutions will look at that and give us their first view on whether this is a sufficiently comprehensive as a starting point for the process which will of course in the end hopefully lead to a successful conclusion of the review. 
If the outcome, of course this is our assumption, of that process is positive, that will allow us on Tuesday morning to start the national procedures and that will be the starting point of the formal procedure-decision making. 
This list of the first reforms by the Greek government will later on be further specified, given details and then be assessed and agreed with the institutions, ultimately by the end of April. It can be done sooner and we would welcome it but there has to be an ultimate deadline given also the extension period of 4 months. 
On the basis of the request, the commitments by Greece, the advice from the institutions and our agreement, we will launch the national procedures, as of next week - where needed, of course this is not valid for the all countries - for the extension of the current programme. This will enable the EFSF Board of Directors to formally approve the extension before the end of February. 
Let me finally say that it is very important that the Greek authorities, together with the institutions, resume immediately the work that would allow for the successful conclusion of the review of the next couple of month.
To summarize let me say that I think this is a very positive outcome. It will allow us step by step to get the work that we have to do with Greeks to get back on track. Hopefully we can make a good start with that next week.
"
Jeroen Dijsselbloem,03.09.2015,"After the last Eurogroup decision on the extension of the current programme, today we had a short discussion on Greece, focusing mainly on the process which should have been started after that decision. We agreed today that there is no further time to loose. The discussions between the Greek authorities and the institutions must and will start as from Wednesday (11/03/2015), with a view to achieve a speedy and successful conclusion of the current review. In this context, we agreed that the discussions with the institutions will take place in Brussels. In parallel, as needed, technical teams from the institutions will be welcomed in Athens, with a view to support this process jointly and together also as of Wednesday.
We also underlined the importance of close and efficient cooperation between the Greek authorities and the institutions and underlined the commitments of no unilateral actions and no rolling-back on measures previously agreed needed to be respected at all times. 
Few remarks about the discussion we had on the structural reforms in particular on services sector. As you know we had a couple of rounds of debate in the past months on structural reforms. We talked about high tax burden on labour in different countries and what reforms would be considered on that issue. We talked about stimulating investments in number of occasions. Today we exchanged views on the reform of the service sector.
The service sector, I don't need to explain, is of great economic importance for the whole euro area and improving its performance would generate significant gains that would spread to the rest of the economy. For example, Commission estimates suggest that reducing restrictions to the level of the five best performing countries in the EU would bring gains amounting to around 2.4% of GDP at the EU level. This is extra potential growth if we could bring down the level of restrictions in services to the level of the best five performing countries. 
Since the euro area countries do not have exchange rate flexibilities, other mechanisms are particularly important to adjust to shocks and correct imbalances. This adjustment needs to be facilitated through a proper functioning of markets, where services are an essential element.
Today we focused on the political challenges of reforming the service sector, number of colleagues shared their experiences, successes and failures in tackling vested interests and reducing the burden of excessive regulation. Several Ministers have spoken about examples where the opening hours of shops were extended, or removing unnecessary restrictions in the way of accessing regulated professions such as notaries and pharmacies. We heard some good examples on specific and detailed regulations some countries have. They highlighted key lessons such as the importance of broad consultation, including of experts and stakeholders.
We will return to this issue later this year and we've asked and the Commission will be glad to provide this further analysis of steps forward, sharing best experiences and developing some common ground there.
"
Jeroen Dijsselbloem,04.29.2015,"Today, the institutions informed us about the ongoing talks with the Greek authorities and we took stock of the situation.
As agreed in February, a comprehensive and detailed list of agreed reforms is needed as a basis for a successful conclusion of the current review. I would like to reiterate again that a comprehensive deal is necessary before any disbursements can take place. 
Over the past few weeks, there have been intense discussions between the Greek authorities and the institutions. I understand that there have been recently some positive signs, but there are still wide differences to cover and to bridge on substance.
We are all aware that time is running out. Too much time has been lost in the past two months. It is therefore clear that these discussions need to make significantly more progress, so that the institutions can give their green light on the comprehensive package which will then go to the Eurogroup for the political decision. The responsibility for that lies mainly on the side of the Greek authorities. Finding an agreement is first and foremost in Greece's interest. 
I would also like to reiterate that the agreement of 20 February remains our framework for reaching a deal. 
We will take stock of the situation again at our next regular Eurogroup in May.
"
Jeroen Dijsselbloem,05.11.2015,"Let me start with Greece, as it is in the limelight right now. Today, the institutions informed us about the ongoing discussions with the Greek authorities.
As you have seen, we have adopted a quite short statement today in which we have recognised that negotiations have advanced. The new set-up of the negotiations which were put in place after our last meeting in Riga is more efficient, more positive, more constructive, we are making faster progress. Some important issues have now been discussed in depth. But more time is needed to bridge the remaining gaps and to reach a comprehensive agreement.
We therefore in particular welcomed the intention of the Greek authorities to accelerate their work with the institutions, with a view to achieve a successful and timely conclusion of the review. 
As agreed in February, a comprehensive and detailed list of agreed reforms is needed as a basis for a successful conclusion of the current review. I would like to reiterate that the agreement of 20 February remains the framework for the negotiations and that a comprehensive deal is necessary before any disbursements can take place. 
We will continue to monitor the situation and we stand ready to meet as soon as the institutions confirm that there is a basis for a successful conclusion.        
"
Jeroen Dijsselbloem,06.18.2015,"The Eurogroup today took stock of the situation regarding the programme of Greece. It is regrettable to say that too little progress has been made in the talks between the institutions and Greece, that there is no agreement yet is in sight.
Let me recall that at the basis on which we work is the agreement of the Eurogroup of 20th February and the statement that we agreed upon then. In that agreement, there were two kinds of flexibility. First, we said we would allow the institutions to take into account the current economic situation in Greece and if necessary, adjust the fiscal targets and timelines considering the deterioration of the economic situation in Greece.
The second flexibility which we allowed was to replace measures, both  fiscal measures and reforms, by other measures being put forward by the Greeks after having been being assessed by the institutions. So there was also flexibility within the current MoU to replace measures.
The institutions have made used of those two kinds of flexibilities during their talks with the Greek authorities. But as we stand now, too few measures that have been put forward and assessed are credible and serious and are to be put in a new agreement. Therefore, the talks of the last weeks have not progressed.
Today in our meeting, we sent a strong signal to the Greek authorities that it's really up to them to submit new, additional proposals in the coming days to fully engage with the institutions, within the framework of the Eurogroup statement of 20th February.
As of today, it is still possible to find an agreement and extend the current programme before the end of this month. But the ball is clearly in the Greek court to seize that last opportunity. We feel that an agreement must be credible. It has to be credible from the perspective of sustainable finances and economic recovery in Greece. But also it has to be credible from the point of view of the credibility of our monetary union and the eurozone as a whole. We think that it is still possible, but if such an agreement is sent to the Eurogroup in the coming days we will judge it on that: the credibility both of Greece and for the eurozone as a whole.
Finally, let me again stress that time is really running out. The current programme expires by the end of this month, There are of course parliamentary procedures to consider. Therefore, very little time remains.
"
Jeroen Dijsselbloem,06.22.2015,"Good afternoon everyone. This will be a very short press conference. We have had a short Eurogroup meeting in order to prepare for the informal meeting of Heads of State and Government which will take place at 19.00.
New proposals from the Greek government came in this morning. We welcomed them. They are seen as a positive step in the process. But given the very little time that the institutions have had to look at them, they were unable to give us a full and in-depth assessment. So they gave us a first impression.
The Eurogroup has urged them to work closely together with the Greek authorities; to start immediately with those proposals, going through them, getting into the specifics, doing calculations on them and working on a list of prior actions, which is the key thing that it boils down to. All of this with a view if possible to reaching an agreement later this week, using the Greek proposals as a basis for that.
The work can start immediately as far as we are concerned. If all goes well, the Eurogroup will have another meeting later this week to hear the final outcome of the talks with the Greek authorities. Those talks, as far as we are concerned, can start this afternoon, bringing together the work of the institutions so far with the new proposals, and once again with a view to reaching a final agreement later this week.
"
Jeroen Dijsselbloem,06.24.2015,"The Eurogroup was informed about the state of play in the talks between the institutions and the Greek authorities.
There is no agreement yet.
Work will go on and the Eurogroup will reconvene Thursday, 25 June at 13:00 pm in order to prepare for the European Council.
"
Jeroen Dijsselbloem,07.05.2015,"On 26 June the Greek authorities decided to reject the proposals by the institutions (the European Commission, the European Central Bank and the International Monetary Fund) for Greece's reform plan. The plan, which has been negotiated since February, is a precondition to unlocking the remaining financial assistance for Greece under the current arrangement.
The Greek government decided to call a referendum on these proposals. It is expected to take place on Sunday 5 July 2015, after the expiry date of the current arrangement. 
The current financial assistance arrangement with Greece expires on 30 June 2015. All other arrangements related to Greece's current programme, including transfer by euro area member states of profits from securities markets programme (SMP) and the agreement on net financial assets (ANFA) expire on the same date.
In a statement issued after the first part of the meeting, 18 Eurogroup members regret that the proposal by the institutions has been rejected unilaterally by the Greek authorities.
The ministers of 18 euro area member states continued to hold talks on the further steps to be taken following the breakdown of negotiations between the institutions and the Greek authorities. 
In the statement issued following the discussion, ministers said that the euro area member states intend to make full use of all the instruments available to preserve the integrity and stability of the eurozone. These instruments will complement any actions that the European Central Bank may decide to take.
Ministers stand ready to take decisive steps to further strengthen Economic and Monetary Union. 
The Eurogroup will closely monitor the economic and financial situation in Greece. The Eurogroup is ready to reconvene whenever necessary. 
Ministers agreed that the euro area member states will assist and support Greece and the Greek people as required, following the expiration of Greece's current financial arrangement with the European Financial Stability Facility.
"
Jeroen Dijsselbloem,06.27.2015,"On 26 June the Greek authorities decided to reject the proposals by the institutions (the European Commission, the European Central Bank and the International Monetary Fund) for Greece's reform plan. The plan, which has been negotiated since February, is a precondition to unlocking the remaining financial assistance for Greece under the current arrangement.
The Greek government decided to call a referendum on these proposals. It is expected to take place on Sunday 5 July 2015, after the expiry date of the current arrangement. 
The current financial assistance arrangement with Greece expires on 30 June 2015. All other arrangements related to Greece's current programme, including transfer by euro area member states of profits from securities markets programme (SMP) and the agreement on net financial assets (ANFA) expire on the same date.
In a statement issued after the first part of the meeting, 18 Eurogroup members regret that the proposal by the institutions has been rejected unilaterally by the Greek authorities.
The ministers of 18 euro area member states continued to hold talks on the further steps to be taken following the breakdown of negotiations between the institutions and the Greek authorities. 
In the statement issued following the discussion, ministers said that the euro area member states intend to make full use of all the instruments available to preserve the integrity and stability of the eurozone. These instruments will complement any actions that the European Central Bank may decide to take.
Ministers stand ready to take decisive steps to further strengthen Economic and Monetary Union. 
The Eurogroup will closely monitor the economic and financial situation in Greece. The Eurogroup is ready to reconvene whenever necessary. 
Ministers agreed that the euro area member states will assist and support Greece and the Greek people as required, following the expiration of Greece's current financial arrangement with the European Financial Stability Facility.
"
Jeroen Dijsselbloem,07.07.2015,"The Eurogroup welcomed the new Greek Minister for Finance Euclid Tsakalotos who presented the situation in Greece following the referendum on 5 July 2015. 

The Eurogroup exchanged views on the way forward. 

Following the meeting Eurogroup President Jeroen Dijsselbloem announced that the Greek government would submit a new request for financial assistance from the European Stability Mechanism (ESM). The request is expected tomorrow, 8 July 2015. 

The Eurogroup is ready to hold a conference call on the same day once the request has been received.

Following the submission of the request, the Eurogroup President will ask the institutions - the European Commission, the European Central Bank and the International Monetary Fund - to assess and analyse Greece's financing needs and the debt sustainability.  Following the assessment the Eurogroup will be able to take a decision on whether formal negotiations can start. 

""All of this needs to be done in a matter of days, as we have very little time"", said J.Dijsselbloem.

According to the ESM rules and the EU treaties, financial assistance to member states is provided under strict conditions. Greece's previous financial assistance arrangement with the European Financial Stability Facility expired on 30 June 2015. 
"
Jeroen Dijsselbloem,07.11.2015,"We have adjourned our meeting and will continue tomorrow at 11.00 am. We had an in-depth discussion on Greek proposals. The issue of credibility and trust was discussed and also, of course, the financial issues involved. But we have not concluded our discussion and we will continue at 11.00 am. 
It is still very difficult, but work is still in progress.
"
Jeroen Dijsselbloem,07.05.2015,"I take note of the outcome of the Greek referendum. This result is very regrettable for the future of Greece. For recovery of the Greek economy, difficult measures and reforms are inevitable. We will now wait for the initiatives of the Greek authorities. The Eurogroup will discuss the state of play on Tuesday 7 July.
"
Jeroen Dijsselbloem,07.12.2015,"The Eurogroup continued the discussion on the recent request by the Greek authorities for financial assistance from the European Stability Mechanism (ESM) and their new proposals for the reform agenda, submitted on 9 July 2015. 

The Eurogroup discussed a number of proposals on the way forward, to be approved by the euro area leaders. 

""We have come a long way, but a couple of big issues are still open, so we are going to put those to the leaders to decide"", said Eurogroup President Jeroen Dijsselbloem after the meeting.

The President of the Eurogroup will report to the euro area heads of state or government on the state of play.
The Euro Summit meets on the same day (12 July) to continue the discussion.
"
