Speaker,date,speech
Jeroen Dijsselbloem,07.13.2015,"Good evening everyone. Let me give you a debrief of our agenda. It was a regular Eurogroup meeting, which  followed a string of extra Eurogroup meetings the last couple of weeks. 
We started our meeting by discussing Greece again, but quite briefly and more in organisational terms than on substance today. We followed up on the conclusions of the summit last night. Briefly we discussed possibilities of bridge financing and looked at the timetable, of the steps to take in the coming days and weeks on Greece. Also we had a first round of debate on the 5 presidents' report. The debate will continue tomorrow in the Ecofin and we took stock of an assessment which the Commission is providing us with on the fiscal compact, in particular on the implementation of the fiscal compact in national procedures.
Let me say a little more on Greece. I am sure you have lots of questions about that also. As you know, following the Greek request for a new ESM programme, we had two sessions of the Eurogroup over the weekend with the objective to decide whether to give the official green light, mandate to the institutions to start formally the negotiations on a new ESM programme. we had very intense discussions. At the heart of these discussions was the issue of trust. Other people have spoken about this. President Juncker has spoken about this, which of course over the course of the last months, in particular surrounding the referendum, a lot of that trust was lost and it had to be rebuilt and it still has to be rebuilt. I think, for me personally, the aim has always been to maintain Greece inside the Eurozone. But it has to be done in a credible way. Credible, for Greece: it had to set out a path that would restore financial independence for Greece in the medium term, restore economic development in Greece, maintain fiscal stability in Greece. It had to be credible for Greece for the future. But it had to be credible also for the Eurozone. Any outcome for me is, one of the keystones is that it is credible for the Eurozone. We are a monetary union which is rule-based and it requires a strong commitment of its members to the rules and to the union. And this was also tested. And that was also the reason why we took so much time in the Eurogroup and in the Summit to talk about what is needed to put Greece back on a sustainable economic and fiscal path, but also how to put Greece back in the middle of that rule-based monetary union. And I hope that we will be successful in doing that. 
Let me say a few words on the procedure, moving ahead. Already at the press conference last night I said a few words about this. In the coming days - Wednesday at the latest - the Greek government will put to parliament and hopefully the parliament will approve the package as a whole; including last night's or rather this morning's agreement, and also four specific elements of legislation which were in the agreement.  If that is successful - the institutions will inform us whether that has been successful -we will have a Eurogroup conference call either on Wednesday night, but probably on Thursday morning to assess that, and that will be the signal for the other Ministers to go to their national parliaments. This is not valid for all ministers, but I believe six or seven have to go to national parliaments. Myself, I have to go. And that can take place on Thursday and Friday. And hopefully at the end of the week we will have another conference call, formally to give the mandate to the institutions. And they will enter into a process to decide an MOU, which is the basis, and the financing arrangements which are the basis, for a new ESM programme. Of course, this is a completely different situation to what we were talking about before; the old talks were broken off and the referendum was called. Then we were talking about a short-term extension of the second programme. Now we are talking about designing a completely new programme for three years. It will involve a lot more on substance, commitments and financing needs, and it will take time to negotiate that; we have asked the institutions to do that as quickly as possible, but it will probably be closer to 4 weeks than 2 weeks. That is my understanding and some call me an optimist. So the path for this week is clear: if all goes well we will have two conference calls to further set off the process. There is already for next week outlined two issues of further legislation for the Greek parliament to consider. Two other issues: prior actions to take forward. And that way we hope to make a lot of progress on measures and reforms that are necessary, while we are finalising the MOU. 
Today we also looked at the issue of bridge financing, because of course there are urgent needs. And this process of finalising the agreement will take time. This is very complex. We looked at  a number of possibilities. There are technical, legal, financial and political issues to consider. So we have tasked an ad hoc working group, technical experts to look into that. They have already started today and they will continue their work tonight. Tomorrow, the Euro Working Group will look at it. That is the deputy-ministers, as you know, and then we will probably have a conference call of ministers on specifically this issue to see what solutions we can find. It is very complex. We haven't yet found the golden key to solve that issue. 
"
Jeroen Dijsselbloem,08.14.2015,"Good evening and welcome to this press conference. We have just finished the Eurogroup meeting and we've come to a positive conclusion on the proposals by the institutions. All the intense work of the last week has paid off and let me here also extend my thanks to the teams of the institutions and the team of the Greek government that had worked so hard these last months to reach an agreement. We also have reached agreement at the political level in the Eurogroup. We had a very constructive and good atmosphere. Of course there were differences, but we have managed to solve the last issues. We have issued a statement outlining the details of our agreement. I will therefore mention only the main elements. 
First, we welcomed the agreement that was reached between Greece and the institutions on policy conditionality. It is to our mind in line with the key objectives set by the euro summit on 12 July, and if implemented with determination -- of course it always boils down to determination -- it will allow the Greek economy to return to sustainable growth. 
Secondly, we commended the Greek authorities on the strong commitment shown in the last weeks in the normalisation of working methods with the institutions. I think that was very helpful to have a good and fruitful process and also we've seen important and determined legislative steps over the past weeks and days even, in Greece, and that has helped in the process of rebuilding trust; and many of the colleagues in the Eurogroup made that point. 
Thirdly, on the policy conditionality, we welcomed the broad scope of the policy measures contained in the Memorandum of Understanding (MoU), as agreed. It's a comprehensive and ambitious reform package, it addresses the main challenges both on reaching sound public finances to return to growth, but also structural policy frameworks to enhance competitiveness. And finally it safeguards financial stability; it deals with the issues with the banks. 
On the latter point, there will be later this year, this autumn, an asset quality review and stress test, and on the basis of that, recapitalisation will take place. In that process the bail-in instrument will apply for senior bondholders, whereas the bail-in of depositors is explicitly excluded. You will find this in our statement. 
Fourthly, the Eurogroup underlined that a significantly strengthened privatisation programme is a part of the new ESM programme. Therefore it is important that the independent fund which will be set up will be established in Greece at the latest by end-2015. It will be under the supervision of the relevant European institutions. It will take on board the privatisation of state assets and the proceeds of this fund will, for the first €25 billion, completely be used to repay debt and for the second part of the target of €50 billion, it will be 50/50: 50% to repay debt and 50% can be reinvested. This fund will be set up before the end of the year. Proposals have to be made already at the latest by end October 2015. The ownership of this fund will be transferred as soon as possible after the recapitalisation of the banks has taken place later this year. 
Fifth, on prior actions. We welcomed, as I already said, the comprehensive set of prior actions that has been legislated by the Greek authorities. The most recent prior actions legislated have been positively assessed by the institutions and I think this demonstrates that programme ownership has been picked up seriously and constructively by the Greek government. 
The overall financing envelope of the agreed ESM programme will amount to €86 billion. This includes a €25 billion bank buffer, which can be available if needed to address potential bank recapitalisation and resolution costs. This money will, later on, after the first review as I said, be transferred to segregated account in the ESM. Whether it is needed will be decided of course after the assessment of the banks and the stress test later this year. 
On debt sustainability - and this is of course the key issue - a debt sustainability assessment has been provided by the Commission, in a strong liaison with the ECB. The analysis basically concludes that debt sustainability can be achieved through a far-reaching and credible reform programme -- I think we have that in front of us -- and debt-related measures without nominal haircuts, because that was made explicit in the euro summit statement of 12 July. The Eurogroup stands ready to consider, after the positive completion of the first programme review, possible additional measures to ensure gross financing needs remaining at a sustainable level. “Gross financing needs” is the debt service approach that we will take when we look at the debt sustainability. We will do that after the successful completion of the first review. 
Finally, we welcomed the intention of the IMF Board to consider further financial support for Greece. They will do so in the autumn. We stressed that such IMF involvement for the Eurogroup is indispensable. We welcomed the positive assessment of IMF staff of the policy conditionality contained in the MoU. For the IMF Board to consider further financial support, there are two issues that are crucial and we realise and accept that. First of all there needs to be a full specification of fiscal, structural and financial sector reforms; and secondly that debt sustainability is ensured. On those reforms, just to mention one is the pension reform and we have again underlined that at the latest in October there has to be clarity on those pension reforms from the side of the Greek government, in agreement with the institutions. 
Finally, as regards the next steps, the necessary elements are all in place now to launch the relevant national procedures to get the formal approval of the ESM financial assistance programme. We expect that the ESM Board of Governors which will take the formal decision will be in a position to approve the proposal on Wednesday, 19 August, by the end of the day; and that it would also unlock the initial fist tranche of the programme. 
That will be all from me. I will now give the floor to Vice-President Dombrovskis and to Klaus Regling.
"
Jeroen Dijsselbloem,09.12.2015,"Good evening and welcome to this press conference. We have just finished the Eurogroup meeting and we've come to a positive conclusion on the proposals by the institutions. All the intense work of the last week has paid off and let me here also extend my thanks to the teams of the institutions and the team of the Greek government that had worked so hard these last months to reach an agreement. We also have reached agreement at the political level in the Eurogroup. We had a very constructive and good atmosphere. Of course there were differences, but we have managed to solve the last issues. We have issued a statement outlining the details of our agreement. I will therefore mention only the main elements. 
First, we welcomed the agreement that was reached between Greece and the institutions on policy conditionality. It is to our mind in line with the key objectives set by the euro summit on 12 July, and if implemented with determination -- of course it always boils down to determination -- it will allow the Greek economy to return to sustainable growth. 
Secondly, we commended the Greek authorities on the strong commitment shown in the last weeks in the normalisation of working methods with the institutions. I think that was very helpful to have a good and fruitful process and also we've seen important and determined legislative steps over the past weeks and days even, in Greece, and that has helped in the process of rebuilding trust; and many of the colleagues in the Eurogroup made that point. 
Thirdly, on the policy conditionality, we welcomed the broad scope of the policy measures contained in the Memorandum of Understanding (MoU), as agreed. It's a comprehensive and ambitious reform package, it addresses the main challenges both on reaching sound public finances to return to growth, but also structural policy frameworks to enhance competitiveness. And finally it safeguards financial stability; it deals with the issues with the banks. 
On the latter point, there will be later this year, this autumn, an asset quality review and stress test, and on the basis of that, recapitalisation will take place. In that process the bail-in instrument will apply for senior bondholders, whereas the bail-in of depositors is explicitly excluded. You will find this in our statement. 
Fourthly, the Eurogroup underlined that a significantly strengthened privatisation programme is a part of the new ESM programme. Therefore it is important that the independent fund which will be set up will be established in Greece at the latest by end-2015. It will be under the supervision of the relevant European institutions. It will take on board the privatisation of state assets and the proceeds of this fund will, for the first €25 billion, completely be used to repay debt and for the second part of the target of €50 billion, it will be 50/50: 50% to repay debt and 50% can be reinvested. This fund will be set up before the end of the year. Proposals have to be made already at the latest by end October 2015. The ownership of this fund will be transferred as soon as possible after the recapitalisation of the banks has taken place later this year. 
Fifth, on prior actions. We welcomed, as I already said, the comprehensive set of prior actions that has been legislated by the Greek authorities. The most recent prior actions legislated have been positively assessed by the institutions and I think this demonstrates that programme ownership has been picked up seriously and constructively by the Greek government. 
The overall financing envelope of the agreed ESM programme will amount to €86 billion. This includes a €25 billion bank buffer, which can be available if needed to address potential bank recapitalisation and resolution costs. This money will, later on, after the first review as I said, be transferred to segregated account in the ESM. Whether it is needed will be decided of course after the assessment of the banks and the stress test later this year. 
On debt sustainability - and this is of course the key issue - a debt sustainability assessment has been provided by the Commission, in a strong liaison with the ECB. The analysis basically concludes that debt sustainability can be achieved through a far-reaching and credible reform programme -- I think we have that in front of us -- and debt-related measures without nominal haircuts, because that was made explicit in the euro summit statement of 12 July. The Eurogroup stands ready to consider, after the positive completion of the first programme review, possible additional measures to ensure gross financing needs remaining at a sustainable level. “Gross financing needs” is the debt service approach that we will take when we look at the debt sustainability. We will do that after the successful completion of the first review. 
Finally, we welcomed the intention of the IMF Board to consider further financial support for Greece. They will do so in the autumn. We stressed that such IMF involvement for the Eurogroup is indispensable. We welcomed the positive assessment of IMF staff of the policy conditionality contained in the MoU. For the IMF Board to consider further financial support, there are two issues that are crucial and we realise and accept that. First of all there needs to be a full specification of fiscal, structural and financial sector reforms; and secondly that debt sustainability is ensured. On those reforms, just to mention one is the pension reform and we have again underlined that at the latest in October there has to be clarity on those pension reforms from the side of the Greek government, in agreement with the institutions. 
Finally, as regards the next steps, the necessary elements are all in place now to launch the relevant national procedures to get the formal approval of the ESM financial assistance programme. We expect that the ESM Board of Governors which will take the formal decision will be in a position to approve the proposal on Wednesday, 19 August, by the end of the day; and that it would also unlock the initial fist tranche of the programme. 
That will be all from me. I will now give the floor to Vice-President Dombrovskis and to Klaus Regling.
"
Jeroen Dijsselbloem,09.12.2015,"Good afternoon and welcome to this press conference. We briefly discussed the economic situation in the Eurozone, I will let Commissioner Moscovici say more about that. We had a follow-up discussion on the issue of structural reforms, in particular on the tax wedge on labour, which is becoming a test case for us on how we can strengthen our cooperation in the field of structural reforms, how can we push the reform agenda jointly in the Eurozone.
Today we discussed and have decided to develop the instrument of benchmarking for the tax burden on labour to follow and stimulate developments in countries of the Eurozone on this issue.
It has to do with competitiveness and the functioning of the labour market, and there is a lot of potential there for us to improve. We will both benchmark on the EU average and also closely follow how we do in relation to the OECD average. There is a statement which will be distributed to you on the issue of benchmarking structural reforms and specifically on the tax wedge on labour, so I will refer for time's sake to that statement.
On Greece, we took stock of latest developments, we were informed by our Greek colleague, who is of course part of the caretaker government. He confirmed that preparatory work of the caretaker government is thus continuing and that implementation, for as far as it does not require further parliamentary decisions, will continue. All of that, of course, in order to lose as little time as possible. From our perspective we can of course only respect the democratic process and will await the election results. Timely implementation of reforms and next steps to take, after the election, is of course crucial and time is limited.
"
Jeroen Dijsselbloem,10.05.2015,"The Eurogroup welcomed the Greek Finance Minister Euclid Tsakalotos, who has been re-appointed to the post following the elections in Greece on 20 September 2015. The discussion then focused on the way forward in implementing Greece's new economic adjustment programme.
In this context the Eurogroup endorsed the first set of milestones, which Greece needs to implement in order to receive a disbursement of €2 billion. This amount is a sub-tranche of the €3 billion which remain undisbursed from the first tranche of €26 billion, as agreed in the programme.
The Eurogroup encouraged Greece to agree with the institutions on the second set of milestones in the next few weeks. Successful implementation of the second set of milestones would unlock the disbursement of the remaining €1 billion.

The Eurogroup called upon Greek authorities to cooperate closely and constructively with the institutions in order to complete the first review of implementation of the programme successfully and swiftly.

The first review is expected to begin in October 2015.
"
Jeroen Dijsselbloem,11.09.2015,"The second issue on our agenda was Greece. We were informed by the Commission, the ECB and the IMF on the state of play, and by the ESM. A lot of progress and work has been done in terms of programme implementation, further development and it has been a very cooperative process. This has been emphasised by all sides. So that was very good news.
We've also taken stock of the ongoing recapitalisation exercise with Greek banks. There too a lot of work has been done and the size of the recapitalisation is smaller than expected earlier, and actually the speed of the process is also going quite smoothly so far. The next thing to do is to have all the financial sector measures in place before the completion of the recapitalisation process. Our Greek colleague Efkleidis Tsakalotos gave his commitment to get that done. There are open issues which you may have heard about which have to do with nonperforming loans, and more specifically household insolvency. So more work needs to be done to get an agreement also on those issues. Implementation needs to be finished over the course of the coming week. All of that is necessary to finalise the process of the recapitalisation. As you remember €10 billion has already been put in a segregated account in the ESM, which is ready if needed and when needed for the recapitalisation process, but of course the agreed conditions need to be met.
"
Jeroen Dijsselbloem,11.23.2015,"We had a extra dedicated Eurogroup meeting today to talk about Draft Budgetary Plans (DBP) and we also took stock of the discussions on Greece. Of course all this happened under the dark cloud of the migration issue and on the top of all that - the terrorism attacks in Paris and the acute situation here in Brussels. I am happy that we could meet today and that we didn't have to call it off. I think that's a good signal and I want to express my strong appreciation for the Belgian authorities for keeping us safe today. 
First on Greece. Before the Eurogroup, a Board of Directors of the ESM meeting took place to take the formal decision on disbursement. There are two elements here, first of all of course there is this situation with the first set of milestones which now have been implemented. One issue has been moved on to the second set of milestones which is linked to the pension reform, but all the other issues have been dealt with and that opens up the possibility to transfer the €2 billion disbursement. Connected to that is of course the money reserved for the recapitalization of the banks. The formal decision on the transfer of the required funds for the recapitalisation of banks will be taken by the ESM Board of Directors - we don't know the exact figures yet - following the relevant state aid decision which the Commission will have to take on a case-by-case basis. So we can't prejudge that. 
We made quite clear that the recapitalisation exercise is being carried out the way that we have agreed, so in line with BRRD but also in line with the Eurogroup statement of 14 August 2015.
We underlined that the precautionary recapitalisations are of a temporary nature and the proceeds stemming from the future disposal of the HFSF participations will be used to repay the ESM as soon as such proceeds become available. I think those were some of the key elements we underlined today in our discussion. Also an important point is the strong implementation of the NPL strategy. This is crucial for the success of the whole recapitalisation process. It is also crucial for and was underlined by the IMF. The IMF participated in our meeting today via telephone. The process of the coming weeks will focus of course on the actual implementation of the recapitalisation process but also on designing the second set of milestones. The EWG will already this week continue to work on that and we have welcomed the commitment by the Greek authorities that they will implement the second set of milestones by mid-December 2015 as well as take all necessary decisions needed to remove bottlenecks on key projects co-funded by the EU and the EIB. 
"
Jeroen Dijsselbloem,12.07.2015,"Let me first make a couple of remarks on Greece, which was one of the countries discussed today. After successful implementation of the first set of milestones last month, today we took stock of the implementation of the second set of milestones. Which as you know are connected to the last sub-tranche of €1 bn. The design of the second set has been agreed by the EWG at the end of November. We called on the Greek authorities to implement these milestones as soon as possible and as agreed. The objective is to settle this by mid-December, so that we can focus on some of the major fiscal and structural reforms that are still open and need to be finalised for the first review early next year.  
Recapitalisation of the four significant banks is almost finalised. We expect the last disbursement to be made tomorrow after approval of the ESM Board of Directors. Overall, a good success with significant involvement from private investors. The exercise will cost the programme less than €5½ bn, well below, as you know, initial estimates.  
"
Jeroen Dijsselbloem,01.14.2016,"The third point I want to make is about Greece. We discussed the next steps and took stock of where we are on the ESM programme. Significant progress, a lot has been achieved after the summer of course. Specifically before the end of the year on the banking sector, where as you remember roughly €5bn was put into the banks, which is a much lower number than we initially had expected. We are now entering a new phase of the programme, working towards the first review - the completion of the first review I should say - which is of course critical as it deals with a number of open fiscal issues, but also structural measures such as the pension reform. It is of decisive importance for the overall success of the programme and essential to get Greece's economic recovery back on track. So in our discussions we did not go into depth into for example the pension reform proposal, we just took stock of where we are in the process. The institutions have put a number of questions on more detailed information to the Greek government. We stress the importance to have that exchange of information very quickly, so that the institutions can travel to Athens to start the work there on the review in a very short period. And then we will take stock of the situation at our next meeting in February 2016. 
"
Jeroen Dijsselbloem,02.11.2016,"We then moved to Greece. We discussed the state of play of the first review of the ESM programme, following the visit of mission chiefs to Athens last week. This important review deals with the key fiscal and structural measures. We were informed that there is good cooperation, a lot of ground has been covered, progress achieved on important issues, but further work is still needed in a number of areas before a staff-level agreement can be reached.
We called on both the Greek authorities and the institutions to pursue the discussions on the review further, in particular on items such as pension reform, the fiscal issues and the privatisation fund, with a view to reaching that staff-level agreement.
"
Jeroen Dijsselbloem,03.07.2016,"The first topic on our agenda was Greece. We discussed the state of play, in particular of course of the first review, what the next steps could be. The outcome of that is that the mission chiefs will return to Athens. I'm not sure when exactly, perhaps already tomorrow. There is enough common ground, enough preparation has been done for their mission to continue, hopefully to work towards a successful completion. We realise that if we want to complete, fully comply to what has been agreed this summer, more work will have to be done. So the first outcome of the Eurogroup today is that the mission chiefs will return to Athens, the second one is that we stressed that more work needs to be done, more effort needs to be put in for that to be a good outcome. There are still fiscal gaps to be filled and some of the reforms will have to be deepened.
So we called on both the institutions but specifically also on the Greek government to deliver that extra effort. On their return, which of course we don't know when that will be, we will have to take a political decision which also concerns the issue of debt and debt management, debt relief. As you know, we have a longstanding promise that if the Greek government fulfils its commitments in the programme and delivers a primary surplus, we will do what is necessary to make the annual debt surplus manageable, and that today also in Eurogroup we have realised and made explicit that that discussion is going to be on our table in the near future. So we will seriously try to bring those work strands together in the coming months. So that's where we are on Greece and work will continue. We have a joint interest to do it as quickly as possible.
"
